NO.,ROW,COL,NNZ,cnt0-16,cnt1-16,new_sparsity_ratio1,new_sparsity_ratio2
0,512,512,128761,12,83,0.5084557476178841,0.5063147966382431
1,512,512,132877,1,74,0.4930835317096991,0.49081468424279584
2,512,512,142349,0,48,0.4569816589355469,0.45538611043095
3,512,512,122501,8,79,0.5324674829018075,0.5304316160686906
4,2048,512,657561,0,109,0.37290096282958984,0.3718562290797377
5,512,2048,587093,5,88,0.4400617646610001,0.43935166086053046
6,512,512,158760,0,39,0.394378662109375,0.39293361884368305
7,512,512,161312,0,33,0.3846435546875,0.3834016268118158
8,512,512,154701,0,37,0.4098625183105469,0.408526793907139
9,512,512,163812,0,23,0.3751068115234375,0.3742283479004951
10,512,512,138452,1,48,0.47181529634377095,0.4702956660137121
11,512,512,140197,1,51,0.46515824330098277,0.4635209392028409
12,512,512,139415,1,43,0.4681415186473784,0.4667745242029252
13,512,512,130440,8,65,0.5021678065461651,0.5004289478521968
14,2048,512,615379,0,144,0.4131288528442383,0.4118365014069
15,512,2048,552458,2,62,0.4731189153721732,0.47263608455264683
16,512,512,122396,12,82,0.5327540923527975,0.5307477610109189
17,512,512,163814,0,44,0.37509918212890625,0.37341646266829864
18,512,512,119017,12,81,0.5456534021500122,0.5437304483837331
19,512,512,156550,0,36,0.40280914306640625,0.40149406655248343
20,512,512,130692,2,57,0.5013887193260896,0.4997090708642127
21,512,512,144385,1,44,0.4491813159982909,0.4477317931456548
22,512,512,131820,1,55,0.4971159128364768,0.49545287525261805
23,512,512,133155,6,61,0.4918679020637441,0.4901557618084911
24,2048,512,629035,0,122,0.40010547637939453,0.3989866465894151
25,512,2048,550086,0,68,0.47539710998535156,0.47485221787743626
26,512,512,129969,1,58,0.504177348470976,0.5024462513781698
27,512,512,164324,0,26,0.3731536865234375,0.3721573541997799
28,512,512,131426,0,51,0.49864959716796875,0.4970841241657993
29,512,512,157607,6,37,0.39855675296128956,0.39741619257356087
30,512,512,132401,1,58,0.4948994384422878,0.4931359487933358
31,512,512,158040,0,31,0.397125244140625,0.3959823885525592
32,512,512,136023,0,50,0.4811134338378906,0.4795250704052896
33,512,512,146596,6,70,0.4405757723775797,0.43838114502880965
34,2048,512,640824,0,114,0.38886260986328125,0.3877976827366941
35,512,2048,560424,0,60,0.46553802490234375,0.4650482619585803
36,512,512,133334,0,50,0.49137115478515625,0.4898141912574997
37,512,512,165516,0,31,0.3686065673828125,0.367409649605577
38,512,512,134172,0,50,0.4881744384765625,0.486607689482062
39,512,512,161231,2,34,0.38487745696496156,0.38367354740061166
40,512,512,128782,1,56,0.5087056705121162,0.5070507716805488
41,512,512,171580,0,19,0.3454742431640625,0.3447143293614421
42,512,512,135490,0,52,0.48314666748046875,0.4815010409012981
43,512,512,157572,6,64,0.39869031627793383,0.39655330882352946
44,2048,512,655737,0,115,0.37464046478271484,0.3735411794377952
45,512,2048,588044,1,51,0.4391889829861906,0.4387607849125754
46,512,512,125661,0,60,0.5206413269042969,0.518879410683656
47,512,512,154825,0,36,0.4093894958496094,0.40808890995840474
48,512,512,127452,0,60,0.5138092041015625,0.5120221759372703
49,512,512,153730,2,41,0.41349499450616534,0.4120953925227926
50,512,512,129316,1,63,0.5066684978331197,0.5047944366154035
51,512,512,176891,0,17,0.3252143859863281,0.32451350277998414
52,512,512,141501,0,42,0.4602165222167969,0.4588292436666259
53,512,512,161782,1,41,0.3828129768662638,0.38130239246160436
54,2048,512,673253,0,90,0.35793590545654297,0.35705295205207344
55,512,2048,611291,1,52,0.4170185778591592,0.41656454248366015
56,512,512,102691,7,131,0.6080974842767295,0.6051075186119486
57,512,512,136832,0,45,0.47802734375,0.47658975457494335
58,512,512,105460,5,106,0.5975792172904328,0.5950823196952942
59,512,512,134494,0,54,0.48694610595703125,0.4852495407225964
60,2048,512,546132,0,257,0.4791679382324219,0.47711744971583514
61,512,2048,478771,411,739,0.5405268714011516,0.5382010355417689
62,512,512,126309,5,75,0.5180223151596557,0.5159536145686431
63,512,512,127433,7,64,0.5136739024241315,0.5119753370098039
64,512,512,124950,5,76,0.5232080713108249,0.5211322663723326
65,512,512,136926,4,64,0.47754120879120876,0.4756204044117647
66,2048,512,512834,425,894,0.5077310285512433,0.5041594474180873
67,512,2048,430911,529,736,0.5857071161567216,0.5843836805555556
68,512,512,89535,140,347,0.6555074181236149,0.6510608280850534
69,512,512,142150,1,53,0.4577076847952145,0.45598095646316816
70,512,512,83912,250,447,0.6749411181356142,0.6709230093493129
71,512,512,126151,22,97,0.5181250763965286,0.5159060907472217
72,2048,512,526135,17,352,0.4981083731436683,0.4955290025159549
73,512,2048,434134,107,293,0.585300478381146,0.5841182195791119
74,512,512,100634,44,173,0.615078029375765,0.612014989821726
75,512,512,132334,6,91,0.49500091586274275,0.4923663536488062
76,512,512,96583,77,217,0.629825381737904,0.6266198119626399
77,512,512,120956,13,94,0.5382230773929509,0.535926949048496
